LICENSE_NBR,STATUS,CREATE_DATE,EXPIRATION_DATE,INDUSTRY,BUSINESS_NAME,address,BORO,Year,Year2,lon,lat,census_code,census_tract
1386388-DCA,Inactive,2011-03-31T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,CONVENIENCE STORE CORP.,550 W 181ST ST NEW YORK NY 10033,MANHATTAN,2011,2012,-73.9328259,40.848768,360610269004002,36061026900
1387002-DCA,Inactive,2011-04-06T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,1797 EMPIRE INC.,1797 1ST AVE NEW YORK NY 10128,MANHATTAN,2011,2012,-73.946223,40.7816229,360610154002000,36061015400
1387700-DCA,Inactive,2011-04-13T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,336 LUCKY STAR DELI GROCERY INC.,336 E 106TH ST NEW YORK NY 10029,MANHATTAN,2011,2012,-73.9411045,40.7898337,360610170003000,36061017000
1387910-DCA,Inactive,2011-04-14T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,HUDSON MAGAZINE INC.,515 HUDSON ST NEW YORK NY 10014,MANHATTAN,2011,2012,-74.0065223,40.7336103,360610075003004,36061007500
1388048-DCA,Inactive,2011-04-15T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,TAESUN 77 INC.,15 W 39TH ST NEW YORK NY 10018,MANHATTAN,2011,2012,-73.9834162,40.7522616,360610084002000,36061008400
1388586-DCA,Inactive,2011-04-20T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"BJ FOODS AND GROCERY NY, INC.",531 9TH AVE NEW YORK NY 10018,MANHATTAN,2011,2012,-73.994039,40.7569698,360610115002004,36061011500
1388726-DCA,Inactive,2011-04-21T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,DASEY DELI GROCERY INC.,3430 BROADWAY NEW YORK NY 10031,MANHATTAN,2011,2012,-73.9527133,40.8229091,360610225003002,36061022500
1385006-DCA,Inactive,2011-04-22T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,DEVIKA LOBBY STAND LLC,1430 BROADWAY NEW YORK NY 10018,MANHATTAN,2011,2012,-73.9865382,40.7539398,360610113001010,36061011300
1389134-DCA,Inactive,2011-04-25T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"ZOKARI, AMIN",239 8TH AVE NEW YORK NY 10011,MANHATTAN,2011,2012,-73.9990756,40.7448465,360610093002001,36061009300
1389720-DCA,Inactive,2011-04-29T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"TENG DA DELI, INC.",302 GRAND ST NEW YORK NY 10002,MANHATTAN,2011,2012,-73.9915781,40.7176718,360610018006000,36061001800
1390182-DCA,Inactive,2011-05-03T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"MOHAMED, DIOMANDE",2120 FREDERICK DOUGLASS BLVD NEW YORK NY 10026,MANHATTAN,2011,2012,-73.955789,40.803328,360610218003001,36061021800
1390782-DCA,Inactive,2011-05-05T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"TRAVEL TRADERS HOTEL STORES, INC.",870 7TH AVE NEW YORK NY 10019,MANHATTAN,2011,2012,-73.9812207,40.7646895,360610137003004,36061013700
1391742-DCA,Inactive,2011-05-12T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,M & A DELI GROCERY STORE CORP,242 MALCOLM X BLVD NEW YORK NY 10027,MANHATTAN,2011,2012,-73.9465099,40.8058723,360610200002003,36061020000
1392124-DCA,Inactive,2011-05-12T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,HERNANDEZ FOOD CORP. NO. 11,21 SHERMAN AVE NEW YORK NY 10040,MANHATTAN,2011,2012,-73.9288637,40.8623269,360610285004000,36061028500
1392156-DCA,Inactive,2011-05-16T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"JD GROCERY, INC.",11 AVENUE D NEW YORK NY 10009,MANHATTAN,2011,2012,-73.9786182,40.7204836,360610022021000,36061002202
1392606-DCA,Inactive,2011-05-23T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,UNCLE JOHNNY GROCERY CORP.,55 AVENUE D NEW YORK NY 10009,MANHATTAN,2011,2012,-73.97767189999999,40.7218247,360610026011001,36061002601
1384704-DCA,Inactive,2011-05-28T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,WAH SHENG GROCERY INC.,461 AVENUE OF THE AMERICAS NEW YORK NY 10011,MANHATTAN,2011,2012,-73.9986816,40.735223,360610071003001,36061007100
1219247-DCA,Inactive,2011-06-03T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,STRAIGHT PATH DELI GROCERY INC,561 MALCOLM X BLVD NEW YORK NY 10037,MANHATTAN,2011,2012,-73.93954699999999,40.8166141,360610230002001,36061023000
1395682-DCA,Inactive,2011-06-07T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,LA PLACITA DIAZ CORP.,3879 BROADWAY NEW YORK NY 10032,MANHATTAN,2011,2012,-73.94276289999999,40.83740969999999,360610245003000,36061024500
1395328-DCA,Inactive,2011-06-08T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"BJ FOODS AND GROCERY NY, INC.",531 9TH AVE NEW YORK NY 10018,MANHATTAN,2011,2012,-73.994039,40.7569698,360610115002004,36061011500
1395742-DCA,Inactive,2011-06-09T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,K&M GOURMET DELI GROCERY CORP.,537 EDGECOMBE AVE NEW YORK NY 10032,MANHATTAN,2011,2012,-73.9394804,40.8332809,360610239001000,36061023900
1396172-DCA,Inactive,2011-06-10T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,BRISA DEL SUR DELI GROCERY INC.,421 AUDUBON AVE NEW YORK NY 10033,MANHATTAN,2011,2012,-73.9299212,40.8518183,360610269001001,36061026900
1395806-DCA,Inactive,2011-06-10T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,GENERAL WHOLESALE & RETAIL TRADING INC.,249 BROOME ST NEW YORK NY 10002,MANHATTAN,2011,2012,-73.98996269999999,40.7178541,360610018001002,36061001800
1396132-DCA,Inactive,2011-06-13T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,SUNNY DELI GROCERY INC,201 W 140TH ST NEW YORK NY 10030,MANHATTAN,2011,2012,-73.9417134,40.8187127,360610230004001,36061023000
1396690-DCA,Inactive,2011-06-17T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,380 AUDUBON HEIGHTS DELI CANDY & GROCERY CORP,380 AUDUBON AVE NEW YORK NY 10033,MANHATTAN,2011,2012,-73.93114849999999,40.8507019,360610269005001,36061026900
1396762-DCA,Inactive,2011-06-17T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,2060 EASY DELI CORP.,2060 2ND AVE NEW YORK NY 10029,MANHATTAN,2011,2012,-73.9423425,40.7903076,360610170003000,36061017000
1396996-DCA,Inactive,2011-06-20T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"HIGH LINE GOURMET MARKET, CORP.",329 10TH AVE NEW YORK NY 10001,MANHATTAN,2011,2012,-74.00163959999999,40.7516816,360610099001016,36061009900
1398126-DCA,Inactive,2011-06-27T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,NYC CANDY INC.,100 W 14TH ST NEW YORK NY 10011,MANHATTAN,2011,2012,-73.9972492,40.7373374,360610071001000,36061007100
1397974-DCA,Inactive,2011-06-28T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"ALMAFLEHI, HEMYAR M",135 POST AVE NEW YORK NY 10034,MANHATTAN,2011,2012,-73.9194454,40.8645937,360610293002000,36061029300
1397910-DCA,Inactive,2011-06-28T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,NEW YORK GOURMET DELI INC,177 AVENUE C NEW YORK NY 10009,MANHATTAN,2011,2012,-73.9774193,40.7264642,360610028003000,36061002800
1398870-DCA,Inactive,2011-07-01T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,DUANE READE,1500 BROADWAY NEW YORK NY 10036,MANHATTAN,2011,2012,-73.98567129999999,40.7567926,360610119001004,36061011900
1398492-DCA,Inactive,2011-07-05T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,MR. CIGAR INC.,519 8TH AVE NEW YORK NY 10018,MANHATTAN,2011,2012,-73.9928867,40.7533395,360610111001002,36061011100
1399234-DCA,Inactive,2011-07-08T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,FANTASY TOBACCO SHOP CORP,3560A BROADWAY NEW YORK NY 10031,MANHATTAN,2011,2012,-73.9494375,40.8271913,360610233003001,36061023300
1399256-DCA,Inactive,2011-07-08T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,WASEEM EXPRESS DELI GROCERY CORP.,2391 FREDERICK DOUGLASS BLVD NEW YORK NY 10027,MANHATTAN,2011,2012,-73.94998199999999,40.812306,360610215001000,36061021500
1399672-DCA,Inactive,2011-07-08T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"ISLAND SMOKES III, LLC.",116 ELDRIDGE ST NEW YORK NY 10002,MANHATTAN,2011,2012,-73.9917547,40.7182225,360610018006000,36061001800
1400436-DCA,Inactive,2011-07-13T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,7TH AVENUE CANDY STORE CORP.,2460 ADAM CLAYTON POWELL JR BLVD NEW YORK NY 10030,MANHATTAN,2011,2012,-73.9402757,40.8206429,360610232003000,36061023200
1400916-DCA,Inactive,2011-07-19T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,28TH STREET DELI INC,136 E 28TH ST NEW YORK NY 10016,MANHATTAN,2011,2012,-73.9820664,40.7423676,360610068006000,36061006800
1401316-DCA,Inactive,2011-07-25T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,AW GROCERY CANDY STORE CORP,22 BRADHURST AVE NEW YORK NY 10030,MANHATTAN,2011,2012,-73.9436743,40.8221119,360610259002001,36061025900
1401288-DCA,Inactive,2011-07-25T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,VILLAGE ONE GIFT & SMOKE INC.,7 GREENWICH AVE NEW YORK NY 10014,MANHATTAN,2011,2012,-73.9998476,40.7342129,360610071004004,36061007100
1401372-DCA,Inactive,2011-07-25T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,FOOD CENTER & DELI INC.,1634 MADISON AVE NEW YORK NY 10029,MANHATTAN,2011,2012,-73.94826549999999,40.795857,360610174013001,36061017401
1401592-DCA,Inactive,2011-07-25T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"FIVE CORNER DELI & GROCERY STORE, INC.",1700 AMSTERDAM AVE NEW YORK NY 10031,MANHATTAN,2011,2012,-73.9481778,40.8247358,360610229003001,36061022900
1401756-DCA,Inactive,2011-07-27T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,A - Z PASS DELI AND GROCERY CORP,561 W 145TH ST NEW YORK NY 10031,MANHATTAN,2011,2012,-73.949778,40.8263108,360610229003000,36061022900
1402326-DCA,Inactive,2011-08-01T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"MORAD, MOHAMMED",118 E 116TH ST NEW YORK NY 10029,MANHATTAN,2011,2012,-73.94243440000001,40.7986887,360610182001001,36061018200
1402858-DCA,Inactive,2011-08-10T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,ROGER'S NEWS INC.,622 3RD AVE NEW YORK NY 10017,MANHATTAN,2011,2012,-73.9757003,40.7497798,360610080001001,36061008000
1404388-DCA,Inactive,2011-08-16T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"NY GIFTS, LLC",316 5TH AVE NEW YORK NY 10001,MANHATTAN,2011,2012,-73.98588,40.7471916,360610076001005,36061007600
1403836-DCA,Inactive,2011-08-16T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,T-MAXX @ AMSTERDAM INC.,2161 AMSTERDAM AVE NEW YORK NY 10032,MANHATTAN,2011,2012,-73.93718799999999,40.8390119,360610249001004,36061024900
1404450-DCA,Inactive,2011-08-19T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,CV MAGAZINE NEWS INC.,550 MADISON AVE NEW YORK NY 10022,MANHATTAN,2011,2012,-73.9735986,40.7615215,360610102001001,36061010200
1404852-DCA,Inactive,2011-08-22T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"ALSAAIDI, KAMALA",122 E 116TH ST NEW YORK NY 10029,MANHATTAN,2011,2012,-73.94229659999999,40.798592,360610182001001,36061018200
1404656-DCA,Inactive,2011-08-22T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"SEVENTEENTH STREET GOURMET, INC.",134 8TH AVE NEW YORK NY 10011,MANHATTAN,2011,2012,-74.0011263,40.7413702,360610081002001,36061008100
1404834-DCA,Inactive,2011-08-22T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,PINEAPPLE FOOD CENTER INC.,91 PINEHURST AVE NEW YORK NY 10033,MANHATTAN,2011,2012,-73.9392233,40.8508016,360610265005000,36061026500
1405250-DCA,Inactive,2011-08-25T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,D & F DELI GROCERY INC,1931 MADISON AVE NEW YORK NY 10035,MANHATTAN,2011,2012,-73.940857,40.805088,360610198001003,36061019800
1405784-DCA,Inactive,2011-08-29T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,THREE BROTHERS BAKING INC.,451 12TH AVE NEW YORK NY 10018,MANHATTAN,2011,2012,-74.0044567,40.7608449,360610117000003,36061011700
1405780-DCA,Inactive,2011-08-29T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,NEW E.Z. FOOD CENTER & DISCOUNT INC.,2304 AMSTERDAM AVE NEW YORK NY 10033,MANHATTAN,2011,2012,-73.9342643,40.843948,360610261007000,36061026100
1408444-DCA,Inactive,2011-09-20T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,FM NEWSSTAND CORP.,630 3RD AVE NEW YORK NY 10017,MANHATTAN,2011,2012,-73.9754014,40.7500267,360610080001001,36061008000
1408472-DCA,Inactive,2011-09-22T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,E. THREE 01 DELI CORP.,301 E 4TH ST NEW YORK NY 10009,MANHATTAN,2011,2012,-73.9800083,40.7223088,360610026011001,36061002601
1410814-DCA,Inactive,2011-10-17T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,GHZALI GOURMET DELI INC.,521 MALCOLM X BLVD NEW YORK NY 10037,MANHATTAN,2011,2012,-73.93722,40.8134499,360610212002001,36061021200
1411170-DCA,Inactive,2011-10-20T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,OKIE DOKEY SMOKEY LLC,111 SAINT MARKS PL NEW YORK NY 10009,MANHATTAN,2011,2012,-73.98380580000001,40.7271797,360610032001000,36061003200
1411678-DCA,Inactive,2011-10-25T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,RIVINGTON GROCERY CORPORATION,94 RIVINGTON ST NEW YORK NY 10002,MANHATTAN,2011,2012,-73.9886717,40.7202517,360610030012001,36061003001
1412338-DCA,Inactive,2011-10-28T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"7-ELEVEN, INC.",224 5TH AVE NEW YORK NY 10001,MANHATTAN,2011,2012,-73.9882641,40.7439036,360610058001003,36061005800
1413432-DCA,Inactive,2011-11-10T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,TZ UPTOWN CORPORATION,445 AUDUBON AVE NEW YORK NY 10040,MANHATTAN,2011,2012,-73.9293126,40.8526167,360610269001000,36061026900
1413284-DCA,Inactive,2011-11-17T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,1869 LEXINGTON GROCERY INC,1869 LEXINGTON AVE NEW YORK NY 10029,MANHATTAN,2011,2012,-73.9416459,40.7983447,360610182003003,36061018200
1414574-DCA,Inactive,2011-12-01T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"648 BROADWAY NY, INC.",648 BROADWAY NEW YORK NY 10012,MANHATTAN,2011,2012,-73.99533629999999,40.7265693,360610055022004,36061005502
1273006-DCA,Inactive,2011-12-07T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,222 MARKET CORP.,384 2ND AVE NEW YORK NY 10010,MANHATTAN,2011,2012,-73.981084,40.73726000000001,360610064005000,36061006400
1415436-DCA,Inactive,2011-12-09T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,"H & E DELI, INC.",212 E 122ND ST NEW YORK NY 10035,MANHATTAN,2011,2012,-73.93664799999999,40.80125779999999,360610194003000,36061019400
1415248-DCA,Inactive,2011-12-12T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,110A HOT 1 DELI CORP.,110A W 145TH ST NEW YORK NY 10039,MANHATTAN,2011,2012,-73.9369585,40.8205863,360610232001001,36061023200
1415976-DCA,Inactive,2011-12-27T00:00:00Z,2012-12-31T00:00:00Z,Cigarette Retail Dealer,A.G.A. GROCERY STORE CORP,242 MALCOLM X BLVD NEW YORK NY 10027,MANHATTAN,2011,2012,-73.9465099,40.8058723,360610200002003,36061020000
1380116-DCA,Inactive,2011-01-05T00:00:00Z,2014-12-31T00:00:00Z,Cigarette Retail Dealer,51ST STREET FOOD MARKET INC.,721 11TH AVE NEW YORK NY 10019,MANHATTAN,2011,2014,-73.9943661,40.7667243,360610135002005,36061013500
1380236-DCA,Inactive,2011-01-06T00:00:00Z,2014-12-31T00:00:00Z,Cigarette Retail Dealer,"NYS MAGAZINES, INC.",80 VARICK ST NEW YORK NY 10013,MANHATTAN,2011,2014,-74.00604369999999,40.7233488,360610037003015,36061003700
1380336-DCA,Inactive,2011-01-07T00:00:00Z,2014-12-31T00:00:00Z,Cigarette Retail Dealer,VICTORIA DELI GROCERY CORP.,1484 SAINT NICHOLAS AVE NEW YORK NY 10033,MANHATTAN,2011,2014,-73.9319178,40.8512642,360610269005001,36061026900
1380540-DCA,Inactive,2011-01-11T00:00:00Z,2014-12-31T00:00:00Z,Cigarette Retail Dealer,"R & K FOOD MARKET, INC.",1376 3RD AVE NEW YORK NY 10075,MANHATTAN,2011,2014,-73.9579327,40.7738752,360610140003000,36061014000
1380942-DCA,Inactive,2011-01-18T00:00:00Z,2014-12-31T00:00:00Z,Cigarette Retail Dealer,"23 NEW CORNER MAGAZINE, INC.",23 3RD AVE NEW YORK NY 10003,MANHATTAN,2011,2014,-73.989555,40.729532,360610038001000,36061003800
